LAKE_NAME,LAKE_ID,latitude,longitude
Hiawatha,27001800,44.92103406,-93.23614096
Mother,27002300,44.89329773,-93.24101276
Nokomis,27001900,44.90863394,-93.24218679
Taft,27068300,44.89295094,-93.24975219
Legion,27002400,44.88576012,-93.26224048
Diamond,27002200,44.90043312,-93.26933949
Milner Pond,27068400,44.88582221,-93.27041654
Norby's Pond,27068500,44.87747333,-93.2741796
Harriet,27001600,44.921843,-93.30501506
Cemetery,27001700,44.93277799,-93.30606527
Lake of the Isles,27004000,44.95540318,-93.30709304
Calhoun,27003100,44.94183604,-93.31184686
Cedar,27003900,44.95986072,-93.32160602
Brownie,27003800,44.96760816,-93.32432684
Pamela Pond,27067500,44.89253886,-93.33232596
Bass,27001500,44.94046655,-93.33576575
Twin,27065600,44.95910488,-93.3374801
Wolfe Park,27066400,44.93521605,-93.34368097
Edina Mill Pond,27004100,44.91532133,-93.3456071
Harvey,27067000,44.90352441,-93.34687178
Melody,27066900,44.9001133,-93.35319831
Meadowbrook,27005400,44.92203369,-93.36196485
South Oak,27066100,44.9342598,-93.37045146
Lamplighter,27071000,44.96612696,-93.3776458
Victoria,27005100,44.9527378,-93.38540883
Unnamed,27077900,44.93344496,-93.38808814
Westling,27071400,44.95126166,-93.38916185
Unnamed (Cobblecrest),27005300,44.95013029,-93.3934835
Hannan,27005200,44.95325067,-93.39545714
Unnamed (Cedar Manor),27071300,44.95714124,-93.39843963
Minnehaha Marsh,27008400,44.95222452,-93.40641127
Windsor,27008200,44.9642472,-93.40975751
Unnamed,27077100,44.9317306,-93.45662366
Unnamed,27075100,44.96024835,-93.4647823
Unnamed,27075000,44.95785924,-93.46926687
Unnamed,27074700,44.95538291,-93.47902767
Unnamed,27073900,44.97841855,-93.47972799
Gray's Bay Outlet,27013300,44.95136266,-93.48421759
Unnamed,27074600,44.95534193,-93.48459089
Unnamed (East),27068701,44.96598591,-93.48596559
Grays Bay,27013301,44.9547142,-93.48613055
Lake Minnetonka,27013300,44.95469591,-93.48614149
Libbs,27008500,44.9464192,-93.48783988
Unnamed,99001038,45.00113623,-93.49268171
Gleason,27009500,44.98171327,-93.49280602
Unnamed,99001038,45.00126551,-93.49285503
Grays Bay,27013301,44.9540505,-93.49348276
Snyder,27010800,45.00142227,-93.50178724
Unnamed,27046800,45.00199573,-93.50671975
Shaver,27008600,44.94540856,-93.50752802
Unnamed,27082200,44.99436868,-93.50780598
Unnamed,27082400,44.98859613,-93.50800044
Wayzata Bay,27013302,44.96066861,-93.51139787
Hadley,27010900,44.98677975,-93.51582619
Marion,27008700,44.94719694,-93.51799869
Louise,27087000,44.94078481,-93.52019442
Mooney,27013400,45.00046635,-93.52084104
Carsons Bay,27013303,44.92620795,-93.53021888
Hooper,27087600,44.91456105,-93.53157385
Holy Name,27015800,45.01564948,-93.53174668
Lydiard,27015900,44.99119557,-93.53259151
Peavey Lake,27013800,44.9647862,-93.53599977
Unnamed,27087700,44.91104272,-93.53654673
William,27014200,44.9176496,-93.54657288
Lower Lake North,27013302,44.94215665,-93.54835451
St. Albans Bay,27013304,44.90727332,-93.55237959
Long,27016000,44.98906221,-93.55776598
Lake Minnetonka,27013300,44.96172063,-93.56301883
Tanager Lake,27014100,44.96201508,-93.56363456
Lower Lake South,27013302,44.92108786,-93.56400987
Galpin,27014400,44.89684546,-93.56462236
Unnamed (Mud),27089600,44.89980385,-93.56649006
Unnamed (College),27089600,44.89849858,-93.57142418
Wolsfeld,27015700,45.00545422,-93.57240356
Unnamed,27089800,44.90092067,-93.5753957
Dickey's,27016100,44.99457531,-93.57813134
Gideon Bay,27013302,44.90948089,-93.58093604
Mary,27014300,44.89721208,-93.58367982
French Marsh,27014000,44.95995235,-93.58414175
Unnamed,27090000,44.89190561,-93.58788972
Thies,27015600,45.01090578,-93.58827502
Lafayette Bay,27013302,44.9325228,-93.58909067
Krieg,27015500,45.01806718,-93.59009058
Unnamed,27090800,44.9133466,-93.59182277
Marsh,27015000,45.03206475,-93.59428079
Lake Minnetonka,27013300,44.93273905,-93.59772351
School,27015100,45.02326033,-93.59853176
Crystal Bay,27013310,44.94664341,-93.59966869
Unnamed,27091200,44.9347187,-93.60391666
Carman Bay,27013305,44.92600669,-93.60549031
Maxwell Bay,27013311,44.95972751,-93.60558945
Classen,27016200,44.99288856,-93.60592019
Minnewashta,10000900,44.87946822,-93.60836027
Unnamed,99001005,45.00741999,-93.61318246
Stubbs Bay,27013312,44.96968203,-93.61604425
Academy Marsh,27051800,45.01891023,-93.62030591
North Arm,27013313,44.95924111,-93.62170304
Unnamed,27052200,45.00309632,-93.62175066
Unnamed,10020600,44.86249222,-93.62235445
St. Joe,10001100,44.87481826,-93.62289049
Spring Park Bay,27013305,44.92573581,-93.6249862
Katrina,27015400,45.00803441,-93.62544383
Virginia,10001500,44.88616049,-93.63263589
Forest Lake,27013900,44.9573127,-93.63341351
West Arm,27013302,44.94535671,-93.63457908
Tamarack,10001000,44.87340409,-93.63482603
Black Lake,27013306,44.93126176,-93.63571382
Unnamed,27096500,44.89543785,-93.63644993
Unnamed,27094500,44.96730109,-93.63701053
Phelps Bay,27013305,44.91702533,-93.63923741
Unnamed,27040800,45.00733692,-93.63941251
Smithtown Bay,27013305,44.88951569,-93.64170722
Unnamed,99000999,45.00936812,-93.64259939
Schutz,10001800,44.87597237,-93.64615358
Unnamed,27094800,44.91960352,-93.65259039
Jennings Bay,27013315,44.95335895,-93.65343473
Harrisons Bay,27013314,44.94233701,-93.65408631
Unnamed,27094700,44.91654434,-93.65425111
Steiger,10004500,44.86681916,-93.65944399
Cooks Bay,27013305,44.92407648,-93.66233319
West Upper Lake,27013305,44.90685036,-93.66330914
Zumbra,10004100,44.88400636,-93.66508136
Unnamed (north portion),10020001,44.847676,-93.6663145
Church,10004600,44.85579675,-93.66673271
Zumbra-Sunny,10004100,44.88257849,-93.66708261
Unnamed (south portion),10020002,44.8445276,-93.6689974
Kelser's Pond,10004700,44.85520491,-93.67296358
Wassermann,10004800,44.84142876,-93.67458232
Sunny,10004100,44.87715624,-93.67468202
Langdon,27018200,44.9331227,-93.67475607
Priests Bay,27013305,44.91900379,-93.67799819
Stone,10005600,44.88873114,-93.67897001
Marsh,10005400,44.82921423,-93.67969435
East Auburn,10004400,44.86529569,-93.68038487
Unnamed,27109600,44.90155252,-93.68044324
Dutch,27018100,44.94405218,-93.68076913
Sunny,10013400,44.87920629,-93.68236075
Wassermann - West Bay,10004800,44.84038554,-93.68242542
Unnamed,27095200,44.9370186,-93.6873335
Unnamed,10013500,44.88293915,-93.68795645
Carl Krey,10005000,44.85154804,-93.68866349
Halsted Bay,27013309,44.9130643,-93.68913245
Saunders,27018500,44.9292351,-93.69114319
West Auburn,10004401,44.86798038,-93.6940305
Piersons,10005300,44.83267232,-93.69809572
Unnamed,10013800,44.88219862,-93.69917662
Unnamed,10019100,44.85328551,-93.69955777
Unnamed (Black),27018300,44.9350344,-93.70038603
Unnamed (Auburn Marsh),10004900,44.85940257,-93.7009469
Unnamed,10013900,44.875554,-93.70158897
Lake Minnetonka,27013300,44.91274408,-93.70279174
Halsted Bay,27013309,44.9127454,-93.70279881
Unnamed,27095800,44.91814195,-93.70283991
Unnamed,27093900,44.95153788,-93.70289687
Unnamed,27095700,44.91948799,-93.70312183
Unnamed,10014000,44.88001216,-93.70773829
Lundsten South Bay,10004300,44.86623538,-93.70904188
Unnamed,10014100,44.8881679,-93.71010547
Lundsten,10004300,44.87011012,-93.71148657
Lundsten North Bay,10004300,44.87267548,-93.71310871
Turbid,10005100,44.84992022,-93.71703851
Parley,10004200,44.88238143,-93.73093785
Unnamed,10019000,44.85991459,-93.73621933
Mud,27018600,44.8944434,-93.74118695
Unnamed,10014300,44.87818129,-93.74894941
