Date,Time,Stage [ft],Quality
4/12/2017,12:06:00 AM,944.13,200 (Unknown)
4/12/2017,12:21:00 AM,944.14,200 (Unknown)
4/12/2017,12:36:00 AM,944.13,200 (Unknown)
4/12/2017,12:51:00 AM,944.14,200 (Unknown)
4/12/2017,1:06:00 AM,944.14,200 (Unknown)
4/12/2017,1:21:00 AM,944.13,200 (Unknown)
4/12/2017,1:36:00 AM,944.14,200 (Unknown)
4/12/2017,1:51:00 AM,944.14,200 (Unknown)
4/12/2017,2:06:00 AM,944.14,200 (Unknown)
4/12/2017,2:21:00 AM,944.14,200 (Unknown)
4/12/2017,2:36:00 AM,944.13,200 (Unknown)
4/12/2017,2:51:00 AM,944.14,200 (Unknown)
4/12/2017,3:06:00 AM,944.14,200 (Unknown)
4/12/2017,3:21:00 AM,944.14,200 (Unknown)
4/12/2017,3:36:00 AM,944.14,200 (Unknown)
4/12/2017,3:51:00 AM,944.13,200 (Unknown)
4/12/2017,4:06:00 AM,944.14,200 (Unknown)
4/12/2017,4:21:00 AM,944.14,200 (Unknown)
4/12/2017,4:36:00 AM,944.13,200 (Unknown)
4/12/2017,4:51:00 AM,944.14,200 (Unknown)
4/12/2017,5:06:00 AM,944.14,200 (Unknown)
4/12/2017,5:21:00 AM,944.14,200 (Unknown)
4/12/2017,5:36:00 AM,944.14,200 (Unknown)
4/12/2017,5:51:00 AM,944.14,200 (Unknown)
4/12/2017,6:06:00 AM,944.14,200 (Unknown)
4/12/2017,6:21:00 AM,944.14,200 (Unknown)
4/12/2017,6:36:00 AM,944.14,200 (Unknown)
4/12/2017,6:51:00 AM,944.14,200 (Unknown)
4/12/2017,7:06:00 AM,944.14,200 (Unknown)
4/12/2017,7:21:00 AM,944.13,200 (Unknown)
4/12/2017,7:36:00 AM,944.14,200 (Unknown)
4/12/2017,7:51:00 AM,944.14,200 (Unknown)
4/12/2017,8:06:00 AM,944.14,200 (Unknown)
4/12/2017,8:21:00 AM,944.13,200 (Unknown)
4/12/2017,8:36:00 AM,944.14,200 (Unknown)
4/12/2017,8:51:00 AM,944.14,200 (Unknown)
4/12/2017,9:06:00 AM,944.14,200 (Unknown)
4/12/2017,9:21:00 AM,944.14,200 (Unknown)
4/12/2017,9:36:00 AM,944.14,200 (Unknown)
4/12/2017,9:51:00 AM,944.14,200 (Unknown)
4/12/2017,10:06:00 AM,944.14,200 (Unknown)
4/12/2017,10:21:00 AM,944.14,200 (Unknown)
4/12/2017,10:36:00 AM,944.14,200 (Unknown)
4/12/2017,10:51:00 AM,944.14,200 (Unknown)
4/12/2017,11:06:00 AM,944.14,200 (Unknown)
4/12/2017,11:21:00 AM,944.13,200 (Unknown)
4/12/2017,11:36:00 AM,944.14,200 (Unknown)
4/12/2017,11:51:00 AM,944.14,200 (Unknown)
4/12/2017,12:06:00 PM,944.14,200 (Unknown)
4/12/2017,12:21:00 PM,944.14,200 (Unknown)
4/12/2017,12:35:00 PM,944.14,"120 (Suspect), ed"
4/12/2017,12:50:00 PM,944.14,"120 (Suspect), ed"
4/12/2017,1:05:00 PM,944.15,"120 (Suspect), ed"
4/12/2017,1:20:00 PM,944.14,"120 (Suspect), ed"
4/12/2017,1:35:00 PM,944.15,"120 (Suspect), ed"
4/12/2017,1:50:00 PM,944.15,"120 (Suspect), ed"
4/12/2017,2:05:00 PM,944.15,"120 (Suspect), ed"
4/12/2017,2:20:00 PM,944.15,"120 (Suspect), ed"
4/12/2017,2:35:00 PM,944.15,"120 (Suspect), ed"
4/12/2017,2:50:00 PM,944.15,"120 (Suspect), ed"
4/12/2017,3:05:00 PM,944.14,"120 (Suspect), ed"
4/12/2017,3:20:00 PM,944.15,"120 (Suspect), ed"
4/12/2017,3:35:00 PM,944.14,"120 (Suspect), ed"
4/12/2017,3:50:00 PM,944.15,"120 (Suspect), ed"
4/12/2017,4:05:00 PM,944.14,"120 (Suspect), ed"
4/12/2017,4:20:00 PM,944.14,"120 (Suspect), ed"
4/12/2017,4:35:00 PM,944.15,"120 (Suspect), ed"
4/12/2017,4:50:00 PM,944.15,"120 (Suspect), ed"
4/12/2017,5:05:00 PM,944.15,"120 (Suspect), ed"
4/12/2017,5:20:00 PM,944.15,"120 (Suspect), ed"
4/12/2017,5:35:00 PM,944.15,"120 (Suspect), ed"
4/12/2017,5:50:00 PM,944.15,"120 (Suspect), ed"
4/12/2017,6:05:00 PM,944.15,"120 (Suspect), ed"
4/12/2017,6:20:00 PM,944.15,"120 (Suspect), ed"
4/12/2017,6:35:00 PM,944.15,"120 (Suspect), ed"
4/12/2017,6:50:00 PM,944.15,"120 (Suspect), ed"
4/12/2017,7:05:00 PM,944.16,"120 (Suspect), ed"
4/12/2017,7:20:00 PM,944.16,"120 (Suspect), ed"
4/12/2017,7:35:00 PM,944.16,"120 (Suspect), ed"
4/12/2017,7:50:00 PM,944.16,"120 (Suspect), ed"
4/12/2017,8:05:00 PM,944.16,"120 (Suspect), ed"
4/12/2017,8:20:00 PM,944.16,"120 (Suspect), ed"
4/12/2017,8:35:00 PM,944.16,"120 (Suspect), ed"
4/12/2017,8:50:00 PM,944.16,"120 (Suspect), ed"
4/12/2017,9:05:00 PM,944.17,"120 (Suspect), ed"
4/12/2017,9:20:00 PM,944.16,"120 (Suspect), ed"
4/12/2017,9:35:00 PM,944.17,"120 (Suspect), ed"
4/12/2017,9:50:00 PM,944.16,"120 (Suspect), ed"
4/12/2017,10:05:00 PM,944.16,"120 (Suspect), ed"
4/12/2017,10:20:00 PM,944.17,"120 (Suspect), ed"
