Date,Time,Stage [ft],Quality
4/5/2017,10:28:00 AM,957.66,"120 (Suspect), ed"
4/5/2017,10:43:00 AM,957.66,"120 (Suspect), ed"
4/5/2017,10:58:00 AM,957.66,"120 (Suspect), ed"
4/5/2017,11:13:00 AM,957.66,"120 (Suspect), ed"
4/5/2017,11:28:00 AM,957.66,"120 (Suspect), ed"
4/5/2017,11:43:00 AM,957.66,"120 (Suspect), ed"
4/5/2017,11:58:00 AM,957.66,"120 (Suspect), ed"
4/5/2017,12:13:00 PM,957.66,"120 (Suspect), ed"
4/5/2017,12:28:00 PM,957.66,"120 (Suspect), ed"
4/5/2017,12:43:00 PM,957.66,"120 (Suspect), ed"
4/5/2017,12:58:00 PM,957.66,"120 (Suspect), ed"
4/5/2017,1:13:00 PM,957.66,"120 (Suspect), ed"
4/5/2017,1:28:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,1:43:00 PM,957.66,"120 (Suspect), ed"
4/5/2017,1:58:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,2:13:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,2:28:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,2:43:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,2:58:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,3:13:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,3:28:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,3:43:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,3:58:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,4:13:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,4:28:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,4:43:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,4:58:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,5:13:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,5:28:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,5:43:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,5:58:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,6:13:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,6:28:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,6:43:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,6:58:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,7:13:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,7:28:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,7:43:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,7:58:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,8:13:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,8:28:00 PM,957.64,"120 (Suspect), ed"
4/5/2017,8:43:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,8:58:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,9:13:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,9:28:00 PM,957.64,"120 (Suspect), ed"
4/5/2017,9:43:00 PM,957.65,"120 (Suspect), ed"
4/5/2017,9:58:00 PM,957.64,"120 (Suspect), ed"
4/5/2017,10:13:00 PM,957.64,"120 (Suspect), ed"
