Date,Time,Stage [ft],Quality
4/12/2017,2:10:00 PM, ---,missing
4/12/2017,2:26:00 PM,925.92,200 (Unknown)
4/12/2017,2:41:00 PM,925.6,200 (Unknown)
4/12/2017,2:56:00 PM,925.93,200 (Unknown)
4/12/2017,3:11:00 PM,925.94,200 (Unknown)
4/12/2017,3:26:00 PM,925.95,200 (Unknown)
4/12/2017,3:41:00 PM,925.96,200 (Unknown)
4/12/2017,3:56:00 PM,925.95,200 (Unknown)
4/12/2017,4:11:00 PM,925.95,200 (Unknown)
4/12/2017,4:26:00 PM,925.94,200 (Unknown)
4/12/2017,4:41:00 PM,925.98,200 (Unknown)
4/12/2017,4:56:00 PM,925.97,200 (Unknown)
4/12/2017,5:11:00 PM,925.98,200 (Unknown)
4/12/2017,5:26:00 PM,925.98,200 (Unknown)
4/12/2017,5:41:00 PM,925.97,200 (Unknown)
4/12/2017,5:56:00 PM,925.98,200 (Unknown)
4/12/2017,6:11:00 PM,925.98,200 (Unknown)
4/12/2017,6:26:00 PM,925.99,200 (Unknown)
4/12/2017,6:41:00 PM,926,200 (Unknown)
4/12/2017,6:56:00 PM,925.99,200 (Unknown)
4/12/2017,7:11:00 PM,925.98,200 (Unknown)
4/12/2017,7:26:00 PM,925.99,200 (Unknown)
4/12/2017,7:41:00 PM,926,200 (Unknown)
4/12/2017,7:56:00 PM,926.01,200 (Unknown)
4/12/2017,8:11:00 PM,926.02,200 (Unknown)
4/12/2017,8:26:00 PM,926.02,200 (Unknown)
4/12/2017,8:41:00 PM,926.01,200 (Unknown)
4/12/2017,8:56:00 PM,926.01,200 (Unknown)
4/12/2017,9:11:00 PM,926.02,200 (Unknown)
4/12/2017,9:26:00 PM,926.03,200 (Unknown)
4/12/2017,9:41:00 PM,926.03,200 (Unknown)
4/12/2017,9:56:00 PM,926.01,200 (Unknown)
4/12/2017,10:11:00 PM,926.02,200 (Unknown)
4/12/2017,10:26:00 PM,926.02,200 (Unknown)
4/12/2017,10:41:00 PM,926.03,200 (Unknown)
4/12/2017,10:56:00 PM,926.03,200 (Unknown)
