Date,Time,Stage [ft],Quality
4/5/2017,8:47:00 AM, ---,missing
4/5/2017,9:03:00 AM,933.9,200 (Unknown)
4/5/2017,9:18:00 AM,933.9,200 (Unknown)
4/5/2017,9:33:00 AM,933.9,200 (Unknown)
4/5/2017,9:48:00 AM,933.9,200 (Unknown)
4/5/2017,10:03:00 AM,933.9,200 (Unknown)
4/5/2017,10:18:00 AM,933.9,200 (Unknown)
4/5/2017,10:33:00 AM,933.91,200 (Unknown)
4/5/2017,10:48:00 AM,933.9,200 (Unknown)
4/5/2017,11:03:00 AM,933.91,200 (Unknown)
4/5/2017,11:18:00 AM,933.91,200 (Unknown)
4/5/2017,11:33:00 AM,933.91,200 (Unknown)
4/5/2017,11:48:00 AM,933.91,200 (Unknown)
4/5/2017,12:03:00 PM,933.91,200 (Unknown)
4/5/2017,12:18:00 PM,933.91,200 (Unknown)
4/5/2017,12:33:00 PM,933.91,200 (Unknown)
4/5/2017,12:48:00 PM,933.92,200 (Unknown)
4/5/2017,1:03:00 PM,933.91,200 (Unknown)
4/5/2017,1:18:00 PM,933.92,200 (Unknown)
4/5/2017,1:33:00 PM,933.92,200 (Unknown)
4/5/2017,1:48:00 PM,933.92,200 (Unknown)
4/5/2017,2:03:00 PM,933.92,200 (Unknown)
4/5/2017,2:18:00 PM,933.92,200 (Unknown)
4/5/2017,2:33:00 PM,933.92,200 (Unknown)
4/5/2017,2:48:00 PM,933.93,200 (Unknown)
4/5/2017,3:03:00 PM,933.92,200 (Unknown)
4/5/2017,3:18:00 PM,933.92,200 (Unknown)
4/5/2017,3:33:00 PM,933.93,200 (Unknown)
4/5/2017,3:48:00 PM,933.92,200 (Unknown)
4/5/2017,4:03:00 PM,933.93,200 (Unknown)
4/5/2017,4:18:00 PM,933.93,200 (Unknown)
4/5/2017,4:33:00 PM,933.93,200 (Unknown)
4/5/2017,4:48:00 PM,933.93,200 (Unknown)
4/5/2017,5:03:00 PM,933.93,200 (Unknown)
4/5/2017,5:18:00 PM,933.93,200 (Unknown)
4/5/2017,5:33:00 PM,933.92,200 (Unknown)
4/5/2017,5:48:00 PM,933.92,200 (Unknown)
4/5/2017,6:03:00 PM,933.93,200 (Unknown)
4/5/2017,6:18:00 PM,933.94,200 (Unknown)
4/5/2017,6:33:00 PM,933.93,200 (Unknown)
4/5/2017,6:48:00 PM,933.94,200 (Unknown)
4/5/2017,7:03:00 PM,933.93,200 (Unknown)
4/5/2017,7:18:00 PM,933.93,200 (Unknown)
4/5/2017,7:33:00 PM,933.92,200 (Unknown)
4/5/2017,7:48:00 PM,933.93,200 (Unknown)
4/5/2017,8:03:00 PM,933.93,200 (Unknown)
4/5/2017,8:18:00 PM,933.93,200 (Unknown)
4/5/2017,8:33:00 PM,933.93,200 (Unknown)
4/5/2017,8:48:00 PM,933.93,200 (Unknown)
4/5/2017,9:03:00 PM,933.93,200 (Unknown)
4/5/2017,9:18:00 PM,933.93,200 (Unknown)
4/5/2017,9:33:00 PM,933.94,200 (Unknown)
4/5/2017,9:48:00 PM,933.93,200 (Unknown)
4/5/2017,10:03:00 PM,933.94,200 (Unknown)
4/5/2017,10:18:00 PM,933.93,200 (Unknown)
4/5/2017,10:33:00 PM,933.93,200 (Unknown)
4/5/2017,10:48:00 PM,933.94,200 (Unknown)
4/5/2017,11:03:00 PM,933.92,200 (Unknown)
4/5/2017,11:18:00 PM,933.92,200 (Unknown)
4/5/2017,11:33:00 PM,933.94,200 (Unknown)
4/5/2017,11:48:00 PM,933.94,200 (Unknown)
4/6/2017,12:03:00 AM,933.93,200 (Unknown)
4/6/2017,12:18:00 AM,933.94,200 (Unknown)
4/6/2017,12:33:00 AM,933.93,200 (Unknown)
4/6/2017,12:48:00 AM,933.94,200 (Unknown)
