id,elevation,read_date,datum_adj
27001800,811.4,1926-04-15,NGVD 29
27001800,815.35,1926-08-05,NGVD 29
27001800,812.72,1927-03-29,NGVD 29
27001800,813.04,1927-11-30,NGVD 29
27001800,814.5,1928-04-12,NGVD 29
27001800,812.76,1928-11-28,NGVD 29
27001800,814.1,1929-04-21,NGVD 29
27001800,813.38,1930-04-01,NGVD 29
27001800,803.35,1930-08-26,NGVD 29
27001800,804.45,1930-11-17,NGVD 29
27001800,806.58,1931-04-01,NGVD 29
27001800,806.55,1931-05-02,NGVD 29
27001800,806.66,1931-05-07,NGVD 29
27001800,806.98,1931-05-11,NGVD 29
27001800,807.2,1931-05-14,NGVD 29
27001800,807.43,1931-05-18,NGVD 29
27001800,807.57,1931-05-21,NGVD 29
27001800,807.77,1931-05-25,NGVD 29
27001800,807.9,1931-05-28,NGVD 29
27001800,808.05,1931-06-01,NGVD 29
27001800,808.28,1931-06-04,NGVD 29
27001800,808.46,1931-06-08,NGVD 29
27001800,808.64,1931-06-11,NGVD 29
27001800,808.92,1931-06-15,NGVD 29
27001800,808.15,1931-06-19,NGVD 29
27001800,808.02,1931-06-22,NGVD 29
27001800,807.88,1931-06-23,NGVD 29
27001800,808.03,1931-06-27,NGVD 29
27001800,808.01,1931-06-29,NGVD 29
27001800,808.1,1931-07-01,NGVD 29
27001800,807.65,1931-07-06,NGVD 29
27001800,807.07,1931-07-08,NGVD 29
27001800,806.71,1931-07-10,NGVD 29
27001800,806.12,1931-07-13,NGVD 29
27001800,806.08,1931-07-16,NGVD 29
27001800,805.83,1931-07-17,NGVD 29
27001800,806.0,1931-07-20,NGVD 29
27001800,806.16,1931-07-27,NGVD 29
27001800,806.34,1931-08-04,NGVD 29
27001800,806.36,1931-08-10,NGVD 29
27001800,806.43,1931-08-17,NGVD 29
27001800,806.47,1931-08-31,NGVD 29
27001800,806.48,1931-09-08,NGVD 29
27001800,806.41,1931-09-14,NGVD 29
27001800,806.52,1931-09-28,NGVD 29
27001800,806.48,1931-10-05,NGVD 29
27001800,806.47,1931-10-12,NGVD 29
27001800,806.46,1931-11-04,NGVD 29
27001800,806.6,1931-11-20,NGVD 29
27001800,807.59,1932-04-11,NGVD 29
27001800,807.18,1932-06-21,NGVD 29
27001800,807.04,1932-07-01,NGVD 29
27001800,806.27,1932-11-01,NGVD 29
27001800,806.45,1932-12-07,NGVD 29
27001800,806.15,1933-01-16,NGVD 29
27001800,807.24,1933-01-31,NGVD 29
27001800,808.07,1933-02-14,NGVD 29
27001800,808.79,1933-02-28,NGVD 29
27001800,809.36,1933-03-14,NGVD 29
27001800,809.76,1933-03-28,NGVD 29
27001800,810.48,1933-04-11,NGVD 29
27001800,810.63,1933-04-25,NGVD 29
27001800,811.11,1933-05-01,NGVD 29
27001800,810.73,1933-06-02,NGVD 29
27001800,808.96,1933-08-08,NGVD 29
27001800,808.42,1933-09-01,NGVD 29
27001800,808.04,1933-10-03,NGVD 29
27001800,807.69,1933-11-03,NGVD 29
27001800,807.67,1933-11-14,NGVD 29
27001800,807.46,1934-02-08,NGVD 29
27001800,807.89,1934-02-26,NGVD 29
27001800,808.59,1934-03-11,NGVD 29
27001800,809.42,1934-04-02,NGVD 29
27001800,810.12,1934-04-16,NGVD 29
27001800,810.37,1934-04-30,NGVD 29
27001800,809.04,1934-06-04,NGVD 29
27001800,809.05,1934-06-08,NGVD 29
27001800,808.41,1934-07-02,NGVD 29
27001800,808.1,1934-08-01,NGVD 29
27001800,807.55,1934-09-04,NGVD 29
27001800,807.54,1934-10-01,NGVD 29
27001800,808.04,1934-10-22,NGVD 29
27001800,807.85,1934-11-01,NGVD 29
27001800,807.77,1934-12-01,NGVD 29
27001800,807.75,1935-03-04,NGVD 29
27001800,808.88,1935-03-18,NGVD 29
27001800,809.57,1935-04-01,NGVD 29
27001800,810.19,1935-04-17,NGVD 29
27001800,810.7,1935-04-30,NGVD 29
27001800,810.42,1935-05-13,NGVD 29
27001800,810.0,1935-06-03,NGVD 29
27001800,809.95,1935-07-13,NGVD 29
27001800,809.27,1935-08-05,NGVD 29
27001800,808.74,1935-08-31,NGVD 29
27001800,808.33,1935-10-01,NGVD 29
27001800,808.41,1935-11-02,NGVD 29
27001800,808.17,1935-12-02,NGVD 29
27001800,807.62,1936-02-01,NGVD 29
27001800,812.09,1936-03-31,NGVD 29
27001800,812.21,1936-05-01,NGVD 29
27001800,811.49,1936-06-05,NGVD 29
27001800,810.45,1936-07-01,NGVD 29
27001800,810.01,1936-07-11,NGVD 29
27001800,809.1,1936-08-01,NGVD 29
27001800,809.78,1936-09-01,NGVD 29
27001800,808.07,1936-10-01,NGVD 29
27001800,805.33,1936-12-14,NGVD 29
27001800,808.14,1937-04-01,NGVD 29
27001800,807.99,1937-05-03,NGVD 29
27001800,809.54,1937-06-01,NGVD 29
27001800,808.29,1937-08-02,NGVD 29
27001800,807.94,1937-09-02,NGVD 29
27001800,807.03,1937-12-03,NGVD 29
27001800,806.9,1938-02-15,NGVD 29
27001800,807.74,1938-03-29,NGVD 29
27001800,811.1,1938-05-31,NGVD 29
27001800,811.29,1938-07-01,NGVD 29
27001800,811.21,1938-08-01,NGVD 29
27001800,810.63,1938-10-04,NGVD 29
27001800,809.46,1939-12-04,NGVD 29
27001800,810.56,1940-04-05,NGVD 29
27001800,809.87,1940-10-03,NGVD 29
27001800,809.9,1940-12-04,NGVD 29
27001800,810.88,1941-04-07,NGVD 29
27001800,810.74,1941-11-18,NGVD 29
27001800,810.72,1942-03-30,NGVD 29
27001800,811.77,1942-11-18,NGVD 29
27001800,812.72,1943-04-16,NGVD 29
27001800,813.77,1943-06-15,NGVD 29
27001800,813.0,1943-06-24,NGVD 29
27001800,810.11,1943-11-22,NGVD 29
27001800,811.17,1944-04-17,NGVD 29
27001800,810.35,1944-11-28,NGVD 29
27001800,812.23,1945-03-28,NGVD 29
27001800,809.94,1945-11-09,NGVD 29
27001800,811.52,1946-03-28,NGVD 29
27001800,810.0,1946-05-06,NGVD 29
27001800,810.3,1946-06-03,NGVD 29
27001800,811.1,1946-07-01,NGVD 29
27001800,809.9,1946-08-02,NGVD 29
27001800,808.4,1946-09-03,NGVD 29
27001800,810.1,1946-10-07,NGVD 29
