# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-10-05 13:48:31 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05289800 MINNEHAHA CREEK AT HIAWATHA AVE. IN MINNEAPOLIS,MN
# -----------------------------------------------------------------------------------
#
# Data provided for site 05289800
#            TS   parameter     Description
#         74489       00065     Gage height, feet
#         74490       00060     Discharge, cubic feet per second
#         74491       00045     Precipitation, total, inches
#         74494       00010     Temperature, water, degrees Celsius
#         74495       00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#
# Data-value qualification codes included in this output:
#        
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	74489_00065	74489_00065_cd	74490_00060	74490_00060_cd	74491_00045	74491_00045_cd	74494_00010	74494_00010_cd	74495_00095	74495_00095_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	05289800	2019-09-28 00:00	CDT	14.59	P	251	P	0.00	P	18.1	P	403	P
USGS	05289800	2019-09-28 00:05	CDT	14.58	P	250	P	0.00	P	18.1	P	404	P
USGS	05289800	2019-09-28 00:10	CDT	14.59	P	251	P	0.00	P	18.1	P	403	P
USGS	05289800	2019-09-28 00:15	CDT	14.59	P	251	P	0.00	P	18.1	P	404	P
USGS	05289800	2019-09-28 00:20	CDT	14.59	P	251	P	0.00	P	18.1	P	404	P
USGS	05289800	2019-09-28 00:25	CDT	14.59	P	251	P	0.00	P	18.1	P	403	P
USGS	05289800	2019-09-28 00:30	CDT	14.58	P	250	P	0.00	P	18.1	P	403	P
USGS	05289800	2019-09-28 00:35	CDT	14.59	P	251	P	0.00	P	18.1	P	420	P
USGS	05289800	2019-09-28 00:40	CDT	14.59	P	251	P	0.00	P	18.0	P	410	P
USGS	05289800	2019-09-28 00:45	CDT	14.59	P	251	P	0.00	P	18.0	P	410	P
USGS	05289800	2019-09-28 00:50	CDT	14.58	P	250	P	0.00	P	18.0	P	411	P
USGS	05289800	2019-09-28 00:55	CDT	14.59	P	251	P	0.00	P	18.0	P	410	P
USGS	05289800	2019-09-28 01:00	CDT	14.59	P	251	P	0.00	P	18.0	P	410	P
USGS	05289800	2019-09-28 01:05	CDT	14.59	P	251	P	0.00	P	18.0	P	404	P
USGS	05289800	2019-09-28 01:10	CDT	14.59	P	251	P	0.00	P	18.0	P	406	P
USGS	05289800	2019-09-28 01:15	CDT	14.58	P	250	P	0.00	P	18.0	P	408	P
USGS	05289800	2019-09-28 01:20	CDT	14.59	P	251	P	0.00	P	18.0	P	411	P
USGS	05289800	2019-09-28 01:25	CDT	14.58	P	250	P	0.00	P	18.0	P	411	P
USGS	05289800	2019-09-28 01:30	CDT	14.60	P	253	P	0.00	P	18.0	P	421	P
USGS	05289800	2019-09-28 01:35	CDT	14.59	P	251	P	0.00	P	18.0	P	428	P
USGS	05289800	2019-09-28 01:40	CDT	14.58	P	250	P	0.00	P	18.0	P	435	P
USGS	05289800	2019-09-28 01:45	CDT	14.58	P	250	P	0.00	P	18.0	P	433	P
USGS	05289800	2019-09-28 01:50	CDT	14.58	P	250	P	0.00	P	18.0	P	435	P
USGS	05289800	2019-09-28 01:55	CDT	14.57	P	248	P	0.00	P	18.0	P	433	P
USGS	05289800	2019-09-28 02:00	CDT	14.59	P	251	P	0.00	P	18.0	P	434	P
USGS	05289800	2019-09-28 02:05	CDT	14.59	P	251	P	0.00	P	18.0	P	432	P
USGS	05289800	2019-09-28 02:10	CDT	14.58	P	250	P	0.00	P	18.0	P	433	P
USGS	05289800	2019-09-28 02:15	CDT	14.58	P	250	P	0.00	P	18.0	P	434	P
USGS	05289800	2019-09-28 02:20	CDT	14.59	P	251	P	0.00	P	18.0	P	433	P
USGS	05289800	2019-09-28 02:25	CDT	14.58	P	250	P	0.00	P	17.9	P	432	P
USGS	05289800	2019-09-28 02:30	CDT	14.58	P	250	P	0.00	P	17.9	P	432	P
USGS	05289800	2019-09-28 02:35	CDT	14.58	P	250	P	0.00	P	17.9	P	430	P
USGS	05289800	2019-09-28 02:40	CDT	14.59	P	251	P	0.00	P	17.9	P	430	P
USGS	05289800	2019-09-28 02:45	CDT	14.57	P	248	P	0.00	P	17.9	P	429	P
USGS	05289800	2019-09-28 02:50	CDT	14.59	P	251	P	0.00	P	17.9	P	430	P
USGS	05289800	2019-09-28 02:55	CDT	14.58	P	250	P	0.00	P	17.9	P	430	P
USGS	05289800	2019-09-28 03:00	CDT	14.59	P	251	P	0.00	P	17.9	P	430	P
USGS	05289800	2019-09-28 03:05	CDT	14.58	P	250	P	0.00	P	17.9	P	430	P
USGS	05289800	2019-09-28 03:10	CDT	14.58	P	250	P	0.00	P	17.9	P	430	P
USGS	05289800	2019-09-28 03:15	CDT	14.58	P	250	P	0.00	P	17.9	P	429	P
USGS	05289800	2019-09-28 03:20	CDT	14.57	P	248	P	0.00	P	17.9	P	428	P
USGS	05289800	2019-09-28 03:25	CDT	14.58	P	250	P	0.00	P	17.9	P	429	P
USGS	05289800	2019-09-28 03:30	CDT	14.57	P	248	P	0.00	P	17.9	P	430	P
USGS	05289800	2019-09-28 03:35	CDT	14.58	P	250	P	0.00	P	17.9	P	430	P
USGS	05289800	2019-09-28 03:40	CDT	14.58	P	250	P	0.00	P	17.9	P	429	P
USGS	05289800	2019-09-28 03:45	CDT	14.58	P	250	P	0.00	P	17.8	P	428	P
USGS	05289800	2019-09-28 03:50	CDT	14.57	P	248	P	0.00	P	17.8	P	428	P
USGS	05289800	2019-09-28 03:55	CDT	14.58	P	250	P	0.00	P	17.8	P	428	P
USGS	05289800	2019-09-28 04:00	CDT	14.58	P	250	P	0.00	P	17.8	P	428	P
USGS	05289800	2019-09-28 04:05	CDT	14.57	P	248	P	0.00	P	17.8	P	429	P
USGS	05289800	2019-09-28 04:10	CDT	14.58	P	250	P	0.00	P	17.8	P	429	P
USGS	05289800	2019-09-28 04:15	CDT	14.58	P	250	P	0.00	P	17.8	P	428	P
USGS	05289800	2019-09-28 04:20	CDT	14.58	P	250	P	0.00	P	17.8	P	430	P
USGS	05289800	2019-09-28 04:25	CDT	14.58	P	250	P	0.00	P	17.8	P	428	P
USGS	05289800	2019-09-28 04:30	CDT	14.57	P	248	P	0.00	P	17.8	P	428	P
USGS	05289800	2019-09-28 04:35	CDT	14.57	P	248	P	0.00	P	17.8	P	428	P
USGS	05289800	2019-09-28 04:40	CDT	14.57	P	248	P	0.00	P	17.8	P	428	P
